n,cum_gain_revenue,profit,profit_per_contact
152,0.0,-7.6000000000000005,-0.05
153,0.0,-7.65,-0.05
154,0.0,-7.7,-0.05
155,0.0,-7.75,-0.05
156,0.0,-7.800000000000001,-0.05
157,0.0,-7.8500000000000005,-0.05
158,0.0,-7.9,-0.05
159,0.0,-7.95,-0.05
160,0.0,-8.0,-0.05
161,0.0,-8.05,-0.05
162,0.0,-8.1,-0.049999999999999996
163,0.0,-8.15,-0.05
164,0.0,-8.200000000000001,-0.05000000000000001
165,0.0,-8.25,-0.05
166,0.0,-8.3,-0.05
167,0.0,-8.35,-0.049999999999999996
168,0.0,-8.4,-0.05
169,0.0,-8.450000000000001,-0.05000000000000001
170,0.0,-8.5,-0.05
171,0.0,-8.55,-0.05
172,0.0,-8.6,-0.049999999999999996
173,0.0,-8.65,-0.05
174,0.0,-8.700000000000001,-0.05
175,0.0,-8.75,-0.05
176,0.0,-8.8,-0.05
177,0.0,-8.85,-0.049999999999999996
178,0.0,-8.9,-0.05
179,0.0,-8.950000000000001,-0.05
180,0.0,-9.0,-0.05
181,0.0,-9.05,-0.05
182,0.0,-9.1,-0.049999999999999996
183,0.0,-9.15,-0.05
184,0.0,-9.200000000000001,-0.05
185,0.0,-9.25,-0.05
186,0.0,-9.3,-0.05
187,0.0,-9.35,-0.049999999999999996
188,0.0,-9.4,-0.05
189,0.0,-9.450000000000001,-0.05
190,0.0,-9.5,-0.05
191,0.0,-9.55,-0.05
192,0.0,-9.600000000000001,-0.05000000000000001
193,0.0,-9.65,-0.05
194,0.0,-9.700000000000001,-0.05
195,0.0,-9.75,-0.05
196,0.0,-9.8,-0.05
197,0.0,-9.850000000000001,-0.05000000000000001
198,0.0,-9.9,-0.05
199,0.0,-9.950000000000001,-0.05
200,0.0,-10.0,-0.05
201,0.0,-10.05,-0.05
202,0.0,-10.100000000000001,-0.05000000000000001
203,0.0,-10.15,-0.05
204,0.0,-10.200000000000001,-0.05
205,0.0,-10.25,-0.05
206,0.0,-10.3,-0.05
207,0.0,-10.350000000000001,-0.05000000000000001
208,0.0,-10.4,-0.05
209,0.0,-10.450000000000001,-0.05
210,0.0,-10.5,-0.05
211,0.0,-10.55,-0.05
212,0.0,-10.600000000000001,-0.05000000000000001
213,0.0,-10.65,-0.05
214,0.0,-10.700000000000001,-0.05
215,0.0,-10.75,-0.05
216,0.0,-10.8,-0.05
217,0.0,-10.850000000000001,-0.05000000000000001
218,0.0,-10.9,-0.05
219,0.0,-10.950000000000001,-0.05
220,0.0,-11.0,-0.05
221,0.0,-11.05,-0.05
222,0.0,-11.100000000000001,-0.05000000000000001
223,0.0,-11.15,-0.05
224,0.0,-11.200000000000001,-0.05
225,0.0,-11.25,-0.05
226,0.0,-11.3,-0.05
227,0.0,-11.350000000000001,-0.05000000000000001
228,0.0,-11.4,-0.05
229,0.0,-11.450000000000001,-0.05
230,0.0,-11.5,-0.05
231,0.0,-11.55,-0.05
232,0.0,-11.600000000000001,-0.05
233,0.0,-11.65,-0.05
234,0.0,-11.700000000000001,-0.05
235,0.0,-11.75,-0.05
236,0.0,-11.8,-0.05
237,0.0,-11.850000000000001,-0.05
238,0.0,-11.9,-0.05
239,0.0,-11.950000000000001,-0.05
240,0.0,-12.0,-0.05
241,0.0,-12.05,-0.05
242,0.0,-12.100000000000001,-0.05
243,0.0,-12.15,-0.05
244,0.0,-12.200000000000001,-0.05
245,0.0,-12.25,-0.05
246,0.0,-12.3,-0.05
247,0.0,-12.350000000000001,-0.05
248,0.0,-12.4,-0.05
249,0.0,-12.450000000000001,-0.05
250,0.0,-12.5,-0.05
251,0.0,-12.55,-0.05
252,0.0,-12.600000000000001,-0.05
253,0.0,-12.65,-0.05
254,0.0,-12.700000000000001,-0.05
255,0.0,-12.75,-0.05
256,0.0,-12.8,-0.05
257,0.0,-12.850000000000001,-0.05
258,0.0,-12.9,-0.05
259,0.0,-12.950000000000001,-0.05
260,0.0,-13.0,-0.05
261,0.0,-13.05,-0.05
262,0.0,-13.100000000000001,-0.05
263,0.0,-13.15,-0.05
264,0.0,-13.200000000000001,-0.05
265,0.0,-13.25,-0.05
266,0.0,-13.3,-0.05
267,0.0,-13.350000000000001,-0.05
268,0.0,-13.4,-0.05
269,0.0,-13.450000000000001,-0.05
270,162.37344242840635,35.212032728521905,0.13041493603156262
271,162.37344242840635,35.16203272852191,0.12974919826022843
272,162.37344242840635,35.1120327285219,0.12908835561956583
273,162.37344242840635,35.062032728521906,0.12843235431693006
274,162.37344242840635,35.0120327285219,0.12778114134497046
275,162.37344242840635,34.962032728521905,0.1271346644673524
276,162.37344242840635,34.91203272852191,0.12649287220478952
277,162.37344242840635,34.8620327285219,0.12585571382137872
278,162.37344242840635,34.812032728521906,0.1252231393112299
279,162.37344242840635,34.7620327285219,0.12459509938538316
280,162.37344242840635,34.712032728521905,0.12397154545900681
281,162.37344242840635,34.66203272852191,0.123352429638868
282,162.37344242840635,34.6120327285219,0.12273770471107058
283,162.37344242840635,34.562032728521906,0.12212732412905267
284,162.37344242840635,34.5120327285219,0.12152124200183768
285,162.37344242840635,34.462032728521905,0.120919413082533
286,162.37344242840635,34.41203272852191,0.12032179275706961
287,162.37344242840635,34.3620327285219,0.11972833703317737
288,162.37344242840635,34.312032728521906,0.11913900252958995
289,162.37344242840635,34.2620327285219,0.1185537464654737
290,162.37344242840635,34.212032728521905,0.11797252665007553
291,162.37344242840635,34.16203272852191,0.11739530147258387
292,162.37344242840635,34.1120327285219,0.1168220298921983
293,162.37344242840635,34.062032728521906,0.11625267142840241
294,162.37344242840635,34.0120327285219,0.11568718615143504
295,162.37344242840635,33.962032728521905,0.11512553467295561
296,162.37344242840635,33.91203272852191,0.11456767813689833
297,162.37344242840635,33.8620327285219,0.11401357821051146
298,162.37344242840635,33.812032728521906,0.11346319707557687
299,162.37344242840635,33.7620327285219,0.1129164974198057
300,162.37344242840635,33.712032728521905,0.11237344242840636
301,162.37344242840635,33.66203272852191,0.11183399577582029
302,162.37344242840635,33.6120327285219,0.1112981216176222
303,162.37344242840635,33.562032728521906,0.11076578458258055
304,162.37344242840635,33.5120327285219,0.11023694976487468
305,162.37344242840635,33.462032728521905,0.10971158271646526
306,162.37344242840635,33.41203272852191,0.10918964943961408
307,162.37344242840635,33.3620327285219,0.10867111637955017
308,162.37344242840635,33.312032728521906,0.10815595041727892
309,162.37344242840635,33.2620327285219,0.10764411886253043
310,162.37344242840635,33.212032728521905,0.10713558944684486
311,162.37344242840635,33.16203272852191,0.1066303303167907
312,162.37344242840635,33.1120327285219,0.1061283100273138
313,162.37344242840635,33.062032728521906,0.10562949753521375
314,162.37344242840635,33.0120327285219,0.10513386219274491
315,162.37344242840635,32.962032728521905,0.10464137374133937
316,162.37344242840635,32.91203272852191,0.10415200230544908
317,162.37344242840635,32.8620327285219,0.10366571838650443
318,162.37344242840635,32.812032728521906,0.10318249285698712
319,162.37344242840635,32.7620327285219,0.10270229695461411
320,162.37344242840635,32.712032728521905,0.10222510227663095
321,162.37344242840635,32.66203272852191,0.10175088077421154
322,162.37344242840635,32.6120327285219,0.10127960474696243
323,162.37344242840635,32.5620327285219,0.1008112468375291
324,162.37344242840635,32.5120327285219,0.10034578002630216
325,162.37344242840635,32.462032728521905,0.09988317762622125
326,162.37344242840635,32.41203272852191,0.09942341327767457
327,162.37344242840635,32.3620327285219,0.09896646094349205
328,162.37344242840635,32.3120327285219,0.09851229490403018
329,162.37344242840635,32.2620327285219,0.09806088975234621
330,162.37344242840635,32.212032728521905,0.09761222038946031
331,162.37344242840635,32.16203272852191,0.09716626201970364
332,162.37344242840635,32.1120327285219,0.09672299014615031
333,162.37344242840635,32.0620327285219,0.09628238056613182
334,162.37344242840635,32.0120327285219,0.09584440936683204
335,162.37344242840635,31.962032728521905,0.09540905292096091
336,162.37344242840635,31.912032728521904,0.09497628788250567
337,162.37344242840635,31.862032728521903,0.09454609118255758
338,162.37344242840635,31.812032728521903,0.09411844002521273
339,162.37344242840635,31.762032728521906,0.09369331188354545
340,162.37344242840635,31.712032728521905,0.09327068449565266
341,162.37344242840635,31.662032728521904,0.09285053586076805
342,162.37344242840635,31.612032728521903,0.09243284423544416
343,162.37344242840635,31.562032728521903,0.09201758812980146
344,162.37344242840635,31.512032728521906,0.09160474630384274
345,162.37344242840635,31.462032728521905,0.0911942977638316
346,162.37344242840635,31.412032728521904,0.09078622175873383
347,162.37344242840635,31.362032728521903,0.09038049777672018
348,162.37344242840635,31.312032728521903,0.08997710554172961
349,162.37344242840635,31.262032728521906,0.08957602501009142
350,162.37344242840635,31.212032728521905,0.08917723636720544
351,162.37344242840635,31.162032728521904,0.08878072002427893
352,162.37344242840635,31.112032728521903,0.08838645661511904
353,162.37344242840635,31.062032728521903,0.0879944269929799
354,162.37344242840635,31.012032728521906,0.087604612227463
355,162.37344242840635,30.962032728521905,0.08721699360147016
356,162.37344242840635,30.912032728521904,0.0868315526082076
357,162.37344242840635,30.862032728521903,0.08644827094824063
358,162.37344242840635,30.812032728521903,0.0860671305265975
